Fid;PreProcessoNormalizzazione;Comune;Provincia;IndirizzoSedeOperativa;Telefono;Fax;TipoEnte;Latitudine;Longitudine
1;ADECCO ITALIA S.P.A.;Avellino;AV;Piazza della Liberta', 32;0825756302;0825769380;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,914875;14,793471
2;APS SANNIOIRPINIA LAB;Roccabascerana;AV;Via Nazionale Appia snc;0824840408;0824840408;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,016189;14,717665
3;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Avellino;AV;Via Pescatori, 123;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,918195;14,780411
4;ASSOCIAZIONE FORMAZIONE E LAVORO;Calitri;AV;Via Puccini- Contrada Strettuale;0818315413;0818319165;ASSOCIAZIONE SENZA FINI DI LUCRO;40,899253;15,425792
5;ESPANSIONE S.R.L.;Avellino;AV;Via Cesare Uva, 3;0825781052;08251801013;SOCIETÁ DI SERVIZI;40,921476;14,784491
6;FONDAZIONE G. BRODOLINI;Avellino;AV;Via Tuoro Cappuccini, I Trav , n. 28 ;0644249625;0644249625;FONDAZIONE;40,919987;14,792829
7;GENERAZIONE VINCENTE S.P.A.;Avellino;AV;Via Partenio, 52;0825760108;0825756844;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,915413;14,789695
8;LAVORO.DOC S.P.A.;Avellino;AV;Via Luigi Amabile, 25p- 25 q;0825768812;082573 288;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,916379;14,794009
9;P.S.B. S.R.L.;Ariano Irpino;AV;Via Cardito, 203;0815705650;0825891818;AGENZIE DI INTERMEDIAZIONE;41,134292;15,080777
10;WELCOME AGENZIA DI COMUNICAZIONI SOCIETA' COOPERATIVA EDITORIALE E GIORNALISTICA A R.L.;Avellino;AV;Via Fratelli Bisogno, 5;0825781351;0825248170;SOCIETÁ DI SERVIZI;40,916285;14,784853
11;ADECCO ITALIA S.P.A.;Benevento;BN;Via Grimoaldo re, 22;082421857;0824325377;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,138023;14,767293
12;APS SANNIOIRPINIA LAB;Ceppaloni;BN;Via Appia, 29;0824840408;0824840408;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,044030;14,760137
13;I.R.FO.M. SOCIETA' COOPERATIVA;Benevento;BN;Contrada Ponte Valentino;08241815219 ;08241810351;SOCIETÁ DI SERVIZI;41,144525;14,829460
14;ISTITUTO CAMPANO PER LA FORMAZIONE PROFESSIONALE ;Montesarchio;BN;Via Tesa, 23;0824847190;0824847190;ENTE DI FORMAZIONE;41,066704;14,634248
15;MANPOWER S.R.L.;Benevento;BN;Via del Pomerio, 39-41;0824482019;0824325534;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,133322;14,777860
16;MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI;Benevento;BN;Via Almerico Meomartini, 80;800034499;0824326246;SOCIETÁ DI SERVIZI;41,123137;14,795524
17;TEMPI MODERNI S.P.A.;Airola;BN;Via Caracciano, 5;0823950059;0823288052;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,041230;14,561049
18;UNIONE PROVINCIALE ARTIGIANI E PICCOLE IMPRESE BENEVENTO - CLAAI IMPRESE;Benevento;BN;Via Almerico Meomartini, 80;082429845;0824351699;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,123129;14,795546
19;ADECCO ITALIA S.P.A.;Caserta;CE;Via Padova, 42/44;0823321944;0823446011;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,079043;14,332602
20;AGENZIA PER IL LAVORO TRAINING & WORKING  - PROGETTO EUROPA S.r.l.;Caserta;CE;Via Roma, 17;0823325422;;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,070427;14,332252
21;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via Gran Bretagna snc, Parco Aveco;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,091400;14,255515
22;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via del Lavoro, 201;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,088579;14,241084
23;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Trentola-Ducenta;CE;Via degli Olmi, 8;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,991754;14,219678
24;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Santa Maria Capua Vetere;CE;Via Merano, 2;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;41,069252;14,258634
25;CONAPI CASERTA;Santa Maria capua Vetere;CE;Via Enrico De Nicola, Residence Le Torri scala A;3931190928;0823799044;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;41,087754;14,261856
26;DA.DIF. CONSULTING S.r.l.;Aversa;CE;Vai S. D'acquisto I Traversa , 7;08119563911;;SOCIETÁ DI SERVIZI;40,967798;14,203646
27;GiCo SOCIETA' COOPERATIVA SOCIALE;Trentola-Ducenta;CE;Via Ambra, 41 bis;0818129450;0818129450;SOCIETÁ DI SERVIZI;40,973084;14,187501
28;GENERAZIONE VINCENTE S.P.A.;Caserta;CE;Via Don Bosco, 40/42;0823216554;0823446172;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,069775;14,336045
29;GI GROUP S.p.A.;Caserta;CE;Parco Gabriella, Via Giotto 34;0823216266;0823216270;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,078653;14,334223
30;HUMANGEST S.P.A.;Caserta;CE;Via Unità Italiana, 41-43;0823447030;0823328986;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,071342;14,341329
31;MANPOWER S.R.L.;Caserta;CE;Via San Carlo, 150;0823279470;0823446776;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;41,073542;14,339672
32;MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI;Caserta;CE;Viale dei Bersaglieri, 32/b;0823462672;08231844355;SOCIETÁ DI SERVIZI;41,073581;14,353364
33;PERCORSI PER CRESCERE ONLUS SOCIETA COOPERATIVA;Lusciano;CE;Via Fratelli Cervi, 3;0818124223;0810148540;SOCIETÁ DI SERVIZI;40,964990;14,170598
34;ADECCO ITALIA S.P.A.;Pomigliano d'Arco;NA;Via Locatelli, 13;0818842181;0818038760;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,910749;14,401039
35;AEM NAPOLI ASSOCIAZIONE EMOTIONAL MANAGER;Napoli;NA;Via G. Porzio n°4, Centro Direzionale Isola A3, scala B int.311;0817375805;0817375805;ASSOCIAZIONE SENZA FINI DI LUCRO;40,856056;14,278364
36;AGENZIA PER IL LAVORO TRAINING & WORKING  - PROGETTO EUROPA S.r.l.;Napoli;NA;Via Giovanni Porzio n, 4 Palazzo Edilres;0817347191;0810072085;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,857983;14,277100
37;AIM FORMAZIONE;Napoli;NA;Via G. Pica, 62;081287199;081287199;ENTE DI FORMAZIONE;40,851532;14,271341
38;ALFA FORMA S.R.L.;Castellammare di Stabia;NA;Via Principe Amedeo, 6;0818713780;08119327766;ENTE DI FORMAZIONE;40,696867;14,483722
39;AMESCI;Napoli;NA;"Centro direzionale, via G. Porzio;;;;;
40;Isola E3";08119811450;08119811451;ASSOCIAZIONE SENZA FINI DI LUCRO;40,859040;14,283477;;;
41;AMI TRAINING SOC. COOP. SOC.;Brusciano;NA;Viale Della Pace, 64;0818863290;0818863290;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,921856;14,422006
42;ARES ASSOCIAZIONE RICERCA E SVILUPPO;Napoli;NA;Viale Campi Fregrei, 41;0815704220;0815705650;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,817744;14,166914
43;ASSIST S.R.L.;Napoli;NA;Via Toledo, 292;0814104430;081426913;SOCIETÁ DI SERVIZI;40,840202;14,248320
44;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Pomigliano D'arco;NA;Via Felice Trecciano, 233;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,911545;14,401382
45;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Napoli;NA;Viale Colli Aminei n.2 c/o Facoltà di Teologia;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,867570;14,249170
46;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Sant'antimo;NA;Via Amerigo Vespucci, 5;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,944639;14,241404
47;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;Quarto;NA;Corso Italia, 352;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,877961;14,128144
48;ASSOCIAZIONE EXPOITALY;Torre del Greco;NA;Corso Avezzana, 26;081 8474337;0813580457 ;ASSOCIAZIONE SENZA FINI DI LUCRO;40,790174;14,369286
49;ASSOCIAZIONE FORMAZIONE E LAVORO;Napoli;NA;Via Venezia Giulia, 5;0818315413;0818319165;ASSOCIAZIONE SENZA FINI DI LUCRO;40,818744;14,193972
50;ASSOCIAZIONE In.FoGiò;Caivano;NA;Via P. Mercalli, 1;0818317510;0818317510;ENTE DI FORMAZIONE;40,932154;14,295346
51;ASSOCIAZIONE R.I.F.O.R.MA;Napoli;NA;Via Sant'Aspreno, 13;081416840;0815626099;ASSOCIAZIONE SENZA FINI DI LUCRO;40,844250;14,254881
52;CENTRO STUDI PER LA FORMAZIONE CAMPANA SVILUPPO;Napoli;NA;Piazza Garibaldi, 26;081262800;081262800;ENTE DI FORMAZIONE;40,853074;14,267646
53;CHARISMA S.R.L.;Napoli;NA;Centro direzionale, Is. E1;0815824911;;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,858198;14,283235
54;C.F.T. CAMPANIA FORMAZIONE E LAVORO;Ottaviano;NA;Via Luigi Carbone, 30;0815280371;0815280371;ENTE DI FORMAZIONE;40,844612;14,509280
55;CONSULT SOCIETA' COOPERATIVA ;Sant'Antonio Abate;NA;Via Stabia, 474;08119185811;08119318375;ENTE DI FORMAZIONE;40,712192;14,527668
56;CONSUL SERVICE SOC. COOP.;Napoli;NA;Via Conte Carlo di Castelmola, 14;081266957;0815635857;SOCIETÁ DI SERVIZI;40,846542;14,264810
57;CONSULTA REGIONALE DEGLI HANDICAPPATI ONLUS;Napoli;NA;Via Pietravalle, 10;0813722382;0813722382;ASSOCIAZIONE SENZA FINI DI LUCRO;40,868577;14,226907
58;COORDINAMENTO F.A.I.;Napoli;NA;Via Poggioreale, 11 Centro Polif. INAIL Torre 7;0817871450;0817873841;SOCIETÁ DI SERVIZI;40,865297;14,286950
59;COSVITEC SOC. CONS. A R.L.;Napoli;NA;Via Galileo Ferraris, 171;0815621292;0810098760;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,849983;14,287667
60;CREATE CONNECTIONS;Napoli;NA;Via Vespucci, 9 ;3929889026;;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,846432;14.269973
61;DA.DIF. CONSULTING S.r.l.;Napoli;NA;Via G.Porzio, 4 - Centro Direzionale is. A3;08119563911;;SOCIETÁ DI SERVIZI;40,857218;14,280192
62;DA.DIF. CONSULTING S.r.l.;Napoli;NA;Corso Secondigliano, 166;08119563911;;SOCIETÁ DI SERVIZI;40,886514;14,267368
63;DEDALUS COOPERATIVA SOCIALE;Napoli;NA;Via Vicinale Santa Maria del Pianto, Torre 1;0817877333;08119569518 ;SOCIETÁ DI SERVIZI;40,864797;14,285194
64;E. I. T. D. SCARL;Napoli;NA;Via Vicinale S. Maria del Pianto, 1 Complesso INAIL Torre 6;0817872851;0817872831;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,865519;14,285226
65;ERFAP UIL CAMPANIA;Napoli;NA;Piazzale Immacolatella Nuova, 5 ;0812252424;0812252424;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,844841;14,262309
66;E.B.INTERC. ENTE BILATERALE INTERCATEGORIALE;Casalnuovo di Napoli;NA;Via Roma, 169;0818420017;08119526659;ENTE BILATERALE;40,912509;14,350602
67;FDC FEDERAZIONE COMMERCIALISTI DELLA CAMPANIA;Napoli;NA;Centro Direzionale, is. E5;0817348060;0817348060;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,858387;14,281776
68;FONDAZIONE CULTURA & INNOVAZIONE;Napoli;NA;Via Emanuele Gianturco, 91;0810193749;08118966219;FONDAZIONE;40,850311;14,289217
69;FONDAZIONE CONSULENTI PER IL LAVORO;Napoli;NA;Via Alcide de Gasperi, 55;081/5518566;0817904209;FONDAZIONE;40,842452;14,256470
70;GENERAZIONE VINCENTE S.P.A.;Napoli;NA;Centro Direzionale is. E7;0817509011;0817509043;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,858689;14,279684
71;GESFOR S.R.L.;Pozzuoli;NA;Vico San Leonardo n. 1/A;0815264711;0813032105;AGENZIE DI SUPPORTO ALLA RICOLLOCAZIONE;40,823055;14,119363
72;GI GROUP S.p.A.;Napoli;NA;Via G. Porzio, Isola B5 Torre Francesco;0817877653;0817500660;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,856052;14,279544
73;HUMANGEST S.P.A.;Napoli;NA;Via G. Porzio, 4 - Centro Direzionale Isola F/12;0810144940;0810607894;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,857472;14,279877
74;INTELLIFORM S.P.A.;Napoli;NA;Via della Costituzione 1, Centro direzionale Is F1;08119804550;;SOCIETÁ DI SERVIZI;40,857472;14,279877
75;"ISTITUTO DI ISTRUZIONE SUPERIORE ""ISIS ANDREA TORRENTE""";Casoria;NA;Via Duca d'Aosta, 63/g;0815403858;0815405889;ISTITUTI DI SCUOLA SECONDARIA DI SECONDO GRADO;40,912725;14,298645
76;LAVORO.DOC S.P.A.;Napoli;NA;Centro Direzionale, Is. G8;0817502405;0816040116;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,857880;14,279433
77;MANPOWER S.R.L.;Pomigliano d'Arco;NA;Via Trieste, 6-8-10;0813296874;0813177119;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,906531;14,392874
78;MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI;Napoli;NA;Via Provinciale Botteghelle di Portici, 139;0815844993;0815844993;SOCIETÁ DI SERVIZI;40,870782;14,323337
79;META CONSORZIO PER LO SVILUPPO DELLA FORMAZIONE, DELL'INNOVAZIONE E DEL MANAGEMENT;Napoli;NA;Via Carducci, 29;081.410090;081403066;ENTE DI FORMAZIONE;40,835568;14,236664
80;RANDSTAD ITALIA S.p.A.;Napoli;NA;Via Giovanni Porzio , 4 Isola F3;0816025001;0810112141;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,857916;14,279742
81;PIEMMEI NAPOLI PER LA FORMAZIONE;Napoli;NA;Via Sant'Aspreno , 13;0815625781;0815626099;ENTE DI FORMAZIONE;40,844088;14,254924
82;POWER GIOB S.R.L.;Castellammare di Stabia;NA;Viale Europa, 61;0810640558;0810640558;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,697819;14,488213
83;P.S.B. S.R.L.;Napoli;NA;Viale Campi Fregrei, 41;;;;40,817589;14,166925
84;SYNERGIE ITALIA AGENZIA PER IL LAVORO S.P.A.;Caivano;NA;Corso Umberto I, 187;0818314528;0818319165;AGENZIE DI INTERMEDIAZIONE;40,954278;14,303902
85;TEMPI MODERNI S.P.A.;Napoli;NA;Viale J. F. Kennedy, 5;0815628260;0815628527;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,823634;14,192062
86;TIME VISION SOC. COOP. A R.L.;Castellammare di Stabia;NA;Via Tavernola n. 6/8;0813941097;1782255443;SOCIETÁ DI SERVIZI;40,702362;14,485612
87;TIME VISION SOC. COOP. A R.L.;Castellammare di Stabia;NA;Corso A. de Gasperi , 169;0813941097;1782255443;SOCIETÁ DI SERVIZI;40,707018;14,482163
88;UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA;Napoli;NA;Via Suor Orsola, 10;0812522293;0812522335;UNIVERSITA' PRIVATE;40,839754;14,242441
89;WINTIME S.p.A.;Napoli;NA;Via Molise 7/9;0810122893;0810122895;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,850840;14,287874
90;ADECCO ITALIA S.P.A.;Salerno;SA;Via Luigi Guercio, 285/287;089797983;089798239;;40,675266;14,778275
91;AGENZIA PER IL LAVORO TRAINING & WORKING  - PROGETTO EUROPA S.r.l.;Salerno;SA;Via Palestro, 11;0817348060;;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,674611;14,790828
92;ASSIST S.R.L.;Battipaglia;SA;Via Palatucci, 17;0814104430;081426913;SOCIETÁ DI SERVIZI;40,605439;14,990515
93;ASSOCIAZIONE DI PROMOZIONE SOCIALE CHIRONE;San Valentino Torio;SA;Via Mons. Tonino Bello, 3;3287029869;0823890232;ASSOCIAZIONE SENZA FINI DI LUCRO;40,792872;14,600856
94;ASSO EFA;Eboli;SA;Via Sant'Antonio, 1;089722236;0898422772;ASSOCIAZIONE SENZA FINI DI LUCRO;40,622463;15,056643
95;ASSOCIAZIONE ESSENIA UETP;Salerno;SA;via San Visco 24 C (già via San Leonardo - Loc. Migliaro, 120);089330973; 0895226495;ASSOCIAZIONE SENZA FINI DI LUCRO;40,653108;14,820759
96;COMUNE DI PONTECAGNANO FAIANO;Pontecagnano Faiano;SA;Via M. Alfani, 52;089386311;089849935;COMUNI;40,643894;14,875160
97;FONDAZIONE ALARIO PER ELEO VELIA ONLUS;Ascea;SA;Viale Parmenide - Frazione Marina;0974971197;0974971269;FONDAZIONE;40,143298;15,170627
98;FONDAZIONE G. BRODOLINI;Contursi Terme;SA;Via Santa Caterina, 33;0644249625;0644249625;FONDAZIONE;40,649887;15,241390
99;FORMAMENTIS SOCIETA' COOPERATIVA;Battipaglia;SA;Via A. Fogazzaro n. 57/A;0828370305;08281999084;SOCIETÁ DI SERVIZI;40,606419;14,993273
100;LAVORO.DOC S.P.A.;Pontecagnano Faiano;SA;"Via A. Moro c/o Centro commerciale ""IL GRANAIO""";0893856388;089848076;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,639540;14,877647
101;MAD ORA FAMIGLIA E MINORI ONLUS;Nocera inferiore;SA;Via S. Giordano, 20;0815159182;0815159182;ASSOCIAZIONE SENZA FINI DI LUCRO;40,743203;14,630974
102;MANPOWER S.R.L.;Salerno;SA;Via Santi Martiri Salernitani, 15;089225059;089226966;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,675456;14,768785
103;MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI;Salerno;SA;Via Madonna di Fatima, 21;0892583316;0892583316;SOCIETÁ DI SERVIZI;40,664106;14,793184
104;RANDSTAD ITALIA S.p.A.;Salerno;SA;Corso Vittorio Emanuele, 57;0895648143;0890972133;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,675526;14,769777
105;SELEFOR;Omignano;SA;Via Nazionale snc;09741847218;09741847219;ALTRO SOGGETTO GIURIDICO CON REQUISITI PER SPL;40,230029;15,269901
106;UNICONSUL SOCIETA' COOPERATIVA ;Pagani;SA;Via Caduti di Superga 18/20;0815150324;0815150324;SOCIETÁ DI SERVIZI;40,742702;14,623827
107;WINTIME S.p.A.;Nocera inferiore;SA;Via Isaia Gabola, 15;0810122893;0810122895;AGENZIE DI SOMMINISTRAZIONE DI LAVORO;40,743567;14,628172
